rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,category,demographics,content_style,collaboration_rate,embedding
1,cristiano,92,3300,475800000,8700000,1.39%,6500000,29000000000,Spain,Sports (Football),"{'age_range': '35-40', 'gender': 'Male', 'languages': ['Portuguese', 'English', 'Spanish']}","{'tone': 'Inspirational', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Sports', 'Lifestyle', 'Family', 'Fitness']}",8.5,[]
2,kyliejenner,91,6900,366200000,8300000,1.62%,5900000,57400000000,United States,Fashion & Beauty,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Luxurious', 'formats': ['Photos', 'Stories', 'Reels'], 'themes': ['Beauty', 'Fashion', 'Lifestyle', 'Business']}",9.2,[]
3,leomessi,90,890,357300000,6800000,1.24%,4400000,6000000000,,Sports (Football),"{'age_range': '35-40', 'gender': 'Male', 'languages': ['Spanish', 'English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos'], 'themes': ['Sports', 'Family', 'Lifestyle']}",7.8,[]
4,selenagomez,93,1800,342700000,6200000,0.97%,3300000,11500000000,United States,Music & Entertainment,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['English', 'Spanish']}","{'tone': 'Authentic', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Acting', 'Beauty', 'Mental Health']}",8.9,[]
5,therock,91,6800,334100000,1900000,0.20%,665300,12500000000,United States,Film & Fitness,"{'age_range': '45-50', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Motivational', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Fitness', 'Acting', 'Business', 'Lifestyle']}",9.5,[]
6,kimkardashian,91,5600,329200000,3500000,0.88%,2900000,19900000000,United States,Fashion & Reality TV,"{'age_range': '40-45', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Glamorous', 'formats': ['Photos', 'Stories', 'Reels'], 'themes': ['Fashion', 'Beauty', 'Family', 'Business']}",9.0,[]
7,arianagrande,92,5000,327700000,3700000,1.20%,3900000,18400000000,United States,Music,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Artistic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Fashion', 'Beauty', 'Lifestyle']}",8.7,[]
8,beyonce,92,2000,272800000,3600000,0.76%,2000000,7400000000,United States,Music,"{'age_range': '40-45', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Powerful', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Fashion', 'Art', 'Activism']}",8.3,[]
9,khloekardashian,89,4100,268300000,2400000,0.35%,926900,9800000000,United States,Fashion & Reality TV,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Relatable', 'formats': ['Photos', 'Stories', 'Reels'], 'themes': ['Fashion', 'Fitness', 'Family', 'Lifestyle']}",8.8,[]
10,justinbieber,91,7400,254500000,1900000,0.59%,1500000,13900000000,Canada,Music,"{'age_range': '25-30', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Personal', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Faith', 'Lifestyle', 'Fashion']}",8.4,[]
